x,y,z
218,-29,29
230,-40,27
230,-40,27
230,-40,27
230,-40,27
243,-43,22
243,-43,22
243,-43,22
257,-37,19
257,-37,19
257,-37,19
257,-37,19
270,-28,18
270,-28,18
270,-28,18
270,-28,18
277,-23,18
277,-23,18
277,-23,18
280,-22,17
280,-22,17
280,-22,17
280,-22,17
276,-19,17
276,-19,17
276,-19,17
264,-19,19
264,-19,19
264,-19,19
264,-19,19
250,-18,21
250,-18,21
250,-18,21
234,-16,22
234,-16,22
234,-16,22
234,-16,22
219,-13,22
219,-13,22
219,-13,22
219,-13,22
208,-10,22
208,-10,22
208,-10,22
205,-10,21
205,-10,21
205,-10,21
205,-10,21
210,-9,20
210,-9,20
210,-9,20
218,-7,17
218,-7,17
218,-7,17
218,-7,17
222,-6,14
222,-6,14
222,-6,14
222,-6,14
219,-6,13
219,-6,13
219,-6,13
209,-3,14
209,-3,14
209,-3,14
209,-3,14
195,-5,15
195,-5,15
195,-5,15
195,-5,15
179,-14,16
179,-14,16
179,-14,16
163,-24,16
163,-24,16
163,-24,16
163,-24,16
150,-32,15
150,-32,15
150,-32,15
140,-34,15
140,-34,15
140,-34,15
140,-34,15
128,-33,15
128,-33,15
128,-33,15
128,-33,15
115,-31,15
115,-31,15
115,-31,15
105,-28,15
105,-28,15
105,-28,15
105,-28,15
95,-23,13
95,-23,13
95,-23,13
85,-14,11
85,-14,11
85,-14,11
85,-14,11
74,-5,10
74,-5,10
74,-5,10
74,-5,10
62,1,9
62,1,9
62,1,9
62,1,9
51,4,7
51,4,7
51,4,7
51,4,7
40,5,6
40,5,6
40,5,6
40,5,6
31,5,5
31,5,5
31,5,5
31,5,5
23,5,3
23,5,3
23,5,3
23,5,3
14,4,2
14,4,2
14,4,2
14,4,2
3,3,1
3,3,1
3,3,1
3,3,1
-8,2,1
-8,2,1
-8,2,1
-8,2,1
-18,0,1
-18,0,1
-18,0,1
-18,0,1
-27,0,1
-27,0,1
-27,0,1
-27,0,1
-36,0,1
-36,0,1
-36,0,1
-36,0,1
-46,0,2
-46,0,2
-46,0,2
-46,0,2
-58,1,3
-58,1,3
-58,1,3
-58,1,3
-71,1,3
-71,1,3
-71,1,3
-71,1,3
-85,0,3
-85,0,3
-85,0,3
-85,0,3
-99,0,4
-99,0,4
-99,0,4
-99,0,4
-114,2,3
-114,2,3
-114,2,3
-114,2,3
-130,3,3
-130,3,3
-130,3,3
-145,6,3
-145,6,3
-145,6,3
-145,6,3
-157,13,5
-157,13,5
-157,13,5
-157,13,5
-166,23,8
-166,23,8
-166,23,8
-171,23,10
-171,33,10
-171,33,10
-171,33,10
-167,40,11
-167,40,11
-167,40,11
-167,40,11
-161,41,9
-161,41,9
-161,41,9
-158,44,5
-158,44,5
-158,44,5
-158,44,5
-161,44,2
-161,44,2
-161,44,2
-161,44,2
-167,34,0
-167,34,0
-167,34,0
-177,24,-3
-177,24,-3
-177,24,-3
-177,24,-3
-186,18,-6
-186,18,-6
-186,18,-6
-194,19,-9
-194,19,-9
-194,19,-9
-194,19,-9
-197,19,-9
-197,19,-9
-197,19,-9
-197,19,-9
-198,19,-8
-198,19,-8
-198,19,-8
-198,16,-10
-198,16,-10
-198,16,-10
-198,16,-10
-202,7,-14
-202,7,-14
-202,7,-14
-210,2,-17
-210,2,-17
-210,2,-17
-210,2,-17
-220,7,-19
-220,7,-19
-220,7,-19
-227,11,-18
-227,11,-18
-227,11,-18
-227,11,-18
-231,8,-15
-231,8,-15
-231,8,-15
-231,2,-15
-231,2,-15
-231,2,-15
-231,2,-15
-227,-1,-16
-227,-1,-16
-227,-1,-16
-221,-1,-17
-221,-1,-17
-221,-1,-17
-221,-1,-17
-215,-4,-17
-215,-4,-17
-215,-4,-17
-211,-14,-17
-211,-14,-17
-211,-14,-17
-211,-14,-17
-210,-16,-17
-210,-16,-17
-210,-16,-17
-208,-6,-16
-208,-6,-16
-208,-6,-16
-202,-6,-14
-202,7,-14
-202,7,-14
-202,7,-14
-196,17,-13
-196,17,-13
-196,17,-13
-196,17,-12
-190,23,-12
-190,23,-12
-190,23,-12
-182,23,-13
-182,23,-13
-182,23,-13
-172,18,-14
-172,18,-14
-172,18,-14
-172,18,-14
-159,15,-14
-159,15,-14
-159,15,-14
-143,17,-14
-143,17,-14
-143,17,-14
-143,17,-14
-130,22,-12
-130,22,-12
-130,22,-12
-121,26,-11
-121,26,-11
-121,26,-11
-121,26,-11
-117,26,-11
-117,26,-11
-117,26,-11
-117,22,-12
-117,22,-12
-117,22,-12
-117,22,-12
-119,13,-14
-119,13,-14
-119,13,-14
-120,2,-15
-120,2,-15
-120,2,-15
-120,2,-15
-118,-7,-16
-118,-7,-16
-118,-7,-16
-116,-9,-17
-116,-9,-17
-116,-9,-17
-116,-9,-17
-116,-9,-17
-116,-9,-17
-116,-9,-17
-115,-7,-15
-115,-7,-15
-115,-7,-15
-115,-7,-15
-110,-4,-11
-110,-4,-11
-110,-4,-11
-101,-5,-7
-101,-5,-7
-101,-5,-7
-101,-5,-7
-89,-9,-3
-89,-9,-3
-89,-9,-3
-75,-15,0
-75,-15,0
-75,-15,0
-75,-15,0
-60,-20,3
-60,-20,3
-60,-20,3
-60,-20,3
-40,-20,3
-40,-20,3
-40,-20,3
-17,-17,2
-17,-17,2
-17,-17,2
-17,-17,2
10,-13,1
10,-13,1
10,-13,1
10,-13,1
44,-10,2
44,-10,2
44,-10,2
44,-10,2
79,-8,3
79,-8,3
79,-8,3
110,0,2
110,0,2
110,0,2
110,0,2
132,9,2
132,9,2
132,9,2
132,9,2
149,8,5
149,8,5
149,8,5
149,8,5
164,0,10
164,0,10
164,0,10
164,0,10
177,-7,12
177,-7,12
177,-7,12
177,-7,12
188,-12,10
188,-12,10
188,-12,10
197,-12,7
197,-12,7
197,-12,7
197,-12,7
206,-11,7
206,-11,7
206,-11,7
206,-11,7
218,-11,7
218,-11,7
218,-11,7
230,-13,7
230,-13,7
230,-13,7
230,-13,7
240,-17,6
240,-17,6
240,-17,6
240,-17,6
248,-21,5
248,-21,5
248,-21,5
253,-25,3
253,-25,3
253,-25,3
253,-25,3
255,-27,3
255,-27,3
255,-27,3
255,-27,3
253,-21,3
253,-21,3
253,-21,3
247,-13,4
247,-13,4
247,-13,4
247,-13,4
240,-13,4
240,-13,4
240,-13,4
240,-13,4
234,-15,3
234,-15,3
234,-15,3
229,-18,1
229,-18,1
229,-18,1
229,-18,1
227,-18,0
227,-18,0
227,-18,0
227,-18,0
226,-10,-2
226,-10,-2
226,-10,-2
227,2,0
227,2,0
227,2,0
227,2,0
225,15,5
225,15,5
225,15,5
225,15,5
222,20,9
222,20,9
222,20,9
222,20,9
218,18,11
218,18,11
218,18,11
218,18,11
213,12,12
213,12,12
213,12,12
208,3,12
208,3,12
208,3,12
208,3,12
201,-5,12
201,-5,12
201,-5,12
201,-5,12
193,-13,12
193,-13,12
193,-13,12
186,-20,12
186,-20,12
186,-20,12
186,-20,12
180,-28,11
180,-28,11
180,-28,11
177,-31,11
177,-31,11
177,-31,11
177,-31,11
173,-27,10
173,-27,10
173,-27,10
173,-27,10
168,-15,10
168,-15,10
168,-15,10
161,-4,10
161,-4,10
161,-4,10
161,-4,10
152,1,10
152,1,10
152,1,10
152,1,10
146,1,9
146,1,9
146,1,9
146,1,9
144,-4,9
144,-4,9
144,-4,9
140,-11,6
140,-11,6
140,-11,6
140,-11,6
129,-15,5
129,-15,5
129,-15,5
129,-15,5
119,-15,5
119,-15,5
119,-15,5
111,-13,6
111,-13,6
111,-13,6
111,-13,6
101,-12,5
101,-12,5
101,-12,5
101,-12,5
90,-9,5
90,-9,5
90,-9,5
90,-9,5
77,-7,5
77,-7,5
77,-7,5
77,-7,6
64,-4,6
64,-4,6
64,-4,6
51,-3,7
51,-3,7
51,-3,7
51,-3,7
40,-3,6
40,-3,6
40,-3,6
40,-3,6
29,-4,5
29,-4,5
29,-4,5
29,-4,5
17,-4,3
17,-4,3
17,-4,3
17,-4,3
4,-1,2
4,-1,2
4,-1,2
4,-1,2
-6,2,1
-6,2,1
-6,2,1
-6,2,1
-15,4,0
-15,4,0
-15,4,0
-15,4,0
-25,4,0
-25,4,0
-25,4,0
-25,4,0
-36,3,0
-36,3,0
-36,3,0
-36,3,0
-46,2,0
-46,2,0
-46,2,0
-46,2,0
-56,1,0
-56,1,0
-56,1,0
-56,1,0
-66,0,1
-66,0,1
-66,0,1
-66,0,1
-75,1,1
-75,1,1
-75,1,1
-75,1,1
-84,2,2
-84,2,2
-84,2,2
-84,2,2
-96,2,2
-96,2,2
-96,2,2
-96,2,1
-110,3,1
-110,3,1
-110,3,1
-124,4,0
-124,4,0
-124,4,0
-124,4,0
-138,7,0
-138,7,0
-138,7,0
-138,7,0
-149,10,0
-149,10,0
-149,10,0
-149,10,0
-159,14,0
-159,14,0
-159,14,0
-166,13,0
-166,13,0
-166,13,0
-166,13,0
-172,11,-1
-172,11,-1
-172,11,-1
-172,11,-1
-178,10,-2
-178,10,-2
-178,10,-2
-184,12,-1
-184,12,-1
-184,12,-1
-184,12,-1
-192,17,0
-192,17,0
-192,17,0
-201,19,1
-201,19,1
-201,19,1
-201,19,1
-211,20,0
-211,20,0
-211,20,0
-211,20,0
-222,24,0
-222,24,0
-222,24,0
-230,25,0
-230,25,0
-230,25,0
-230,25,0
-236,23,-2
-236,23,-2
-236,23,-2
-236,23,-2
-240,20,-5
-240,20,-5
-240,20,-5
-244,20,-7
-244,20,-7
-244,20,-7
-244,20,-7
-246,23,-9
-246,23,-9
-246,23,-9
-245,25,-9
-245,25,-9
-245,25,-9
-245,25,-9
-241,24,-9
-241,24,-9
-241,24,-9
-237,24,-10
-236,26,-10
-236,26,-10
-236,26,-10
-229,26,-11
-229,26,-11
-229,26,-11
