x,y,z
7,-6,-31
7,-6,-31
7,-6,-31
3,-5,-33
3,-5,-33
3,-5,-33
3,-5,-33
0,-3,-35
0,-3,-35
0,-3,-35
-2,-2,-38
-2,-2,-38
-2,-2,-38
-2,-2,-38
-2,-1,-41
-2,-1,-41
-2,-1,-41
-2,-1,-41
-1,-1,-44
-1,-1,-44
-1,-1,-44
0,0,-45
0,0,-45
0,0,-45
0,0,-45
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
0,0,-46
0,0,-46
0,0,-46
0,0,-46
0,0,-47
0,0,-47
0,0,-47
0,0,-47
0,0,-48
0,0,-48
0,0,-48
0,0,-48
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
1,-1,-49
1,-1,-49
1,-1,-49
1,-1,-49
1,0,-49
1,0,-49
1,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
-2,-1,-48
-2,-1,-48
-2,-1,-48
-2,-1,-48
-3,-2,-47
-3,-2,-47
-3,-2,-47
-3,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-2,-2,-47
-2,-2,-47
-2,-2,-47
-2,-2,-47
-2,-2,-46
-2,-2,-46
-2,-2,-46
-2,-2,-46
-3,-3,-44
-3,-3,-44
-3,-3,-44
-5,-3,-43
-5,-4,-43
-5,-4,-43
-5,-4,-43
-5,-5,-43
-5,-5,-43
-5,-5,-43
-5,-5,-43
-5,-6,-43
-5,-6,-43
-5,-6,-43
-5,-6,-44
-4,-6,-44
-4,-6,-44
-4,-6,-44
-4,-7,-44
-4,-7,-44
-4,-7,-44
-4,-7,-44
-4,-6,-44
-4,-6,-44
-4,-6,-44
-4,-6,-44
-5,-7,-42
-5,-7,-42
-5,-7,-42
-7,-7,-41
-7,-7,-41
-7,-7,-41
-7,-7,-41
-8,-7,-40
-8,-7,-40
-8,-7,-40
-8,-7,-40
-9,-6,-40
-9,-6,-40
-9,-6,-40
-9,-5,-41
-9,-5,-41
-9,-5,-41
-9,-5,-41
-9,-4,-40
-9,-4,-40
-9,-4,-40
-9,-4,-40
-8,-4,-39
-8,-4,-39
-8,-4,-39
-7,-3,-37
-7,-3,-37
-7,-3,-37
-7,-3,-37
-6,-3,-35
-6,-3,-35
-6,-3,-35
-6,-3,-35
